id,wife_id,husband_id,branch
45,151,150,
46,152,150,
47,153,155,
48,157,156,
49,160,159,
53,14,169,3
55,176,13,
56,178,174,
89,305,304,1
58,181,76,2
59,185,186,4
60,125,190,
61,126,193,
90,311,310,4
63,204,203,
64,133,202,0
65,205,206,
66,210,207,
67,211,208,
68,214,209,
69,70,216,1
70,219,220,0
71,222,223,
72,177,226,
74,69,228,1
75,232,71,1
80,268,269,1
77,246,240,0
78,251,250,1
79,264,263,
81,272,273,1
82,272,282,0
84,288,196,0
85,260,292,0
4,16,17,3
300,935,97,4
15,62,75,5
16,79,82,5
18,34,35,4
19,88,87,4
87,81,296,
88,298,279,
50,89,162,4
17,81,36,5
83,284,283,1
289,908,909,1
287,905,904,1
286,626,903,3
291,914,168,3
92,319,312,4
133,489,488,
107,381,380,1
94,314,330,4
95,336,316,4
130,475,476,
32,127,115,3
33,130,26,3
34,131,23,
38,9,8,3
40,59,102,1
41,64,134,1
42,66,135,1
43,146,78,2
44,147,77,2
97,345,321,4
98,349,322,4
99,354,92,
37,132,110,
101,99,361,
102,99,362,4
103,363,365,
105,373,45,
106,376,46,
109,391,390,1
112,184,403,2
113,408,315,
114,317,409,4
115,410,245,
117,422,420,3
118,421,425,
119,430,429,4
120,433,431,
121,432,441,
122,453,452,
104,368,367,1
124,456,172,
125,173,457,
126,461,337,4
36,117,23,3
128,468,340,
129,471,464,
30,118,107,3
111,183,399,2
110,396,182,2
31,121,23,3
288,907,906,1
290,911,910,1
116,419,171,3
39,7,6,3
131,477,474,
301,521,941,1
303,86,948,0
134,486,485,
135,497,496,1
189,676,670,
136,344,498,4
263,120,863,3
24,103,80,5
25,105,24,3
261,855,85,0
27,106,110,3
28,113,25,3
29,114,116,3
137,342,501,4
138,507,506,
139,509,384,
140,512,510,
141,515,54,
142,529,527,
143,530,527,
144,514,543,
147,547,550,
148,548,551,4
149,560,559,
264,112,862,3
156,573,574,0
152,565,566,
145,545,544,1
157,461,576,0
158,579,467,0
159,580,465,0
20,32,31,4
21,91,93,4
22,95,94,
23,98,92,4
160,583,383,
161,590,584,0
162,594,593,0
163,600,592,
164,96,607,0
165,318,608,0
166,605,609,
167,612,347,4
168,616,617,
169,117,619,0
170,621,622,0
171,625,124,3
173,636,19,
174,640,637,0
175,199,643,2
172,629,628,2
146,546,549,4
132,491,490,1
155,571,188,0
176,648,36,0
177,339,649,4
178,651,650,4
179,652,343,4
180,655,90,4
262,861,119,3
183,175,663,4
184,666,665,4
185,667,161,4
186,671,161,0
187,672,668,4
188,669,675,0
190,678,677,
191,679,449,4
192,683,680,4
194,692,691,4
195,697,696,1
196,704,703,1
197,706,705,1
198,686,707,4
199,333,710,4
200,714,329,4
201,719,328,4
203,723,715,4
210,731,730,0
211,733,732,0
212,735,734,0
3,10,11,3
214,739,738,0
215,740,451,4
216,744,741,4
217,748,747,0
218,750,749,0
219,752,751,0
220,754,753,0
221,756,755,0
222,758,757,0
223,760,759,0
224,199,763,0
226,767,766,0
227,769,768,0
228,771,770,0
1,1,2,3
2,4,5,3
5,15,18,3
7,27,30,5
8,37,38,5
9,41,42,1
10,50,51,1
12,60,63,1
13,61,68,1
230,776,775,0
193,682,687,4
11,43,52,1
231,778,777,0
232,780,779,0
233,782,781,0
234,784,783,0
240,346,795,0
241,800,100,0
242,801,166,0
243,167,804,0
244,807,347,4
249,826,825,0
250,828,827,0
251,830,829,0
252,832,831,0
253,824,833,0
254,835,821,0
255,837,20,0
245,808,65,0
246,66,809,1
247,815,797,0
248,21,820,0
256,845,466,0
257,847,350,4
182,662,164,0
265,229,869,1
259,852,851,0
123,454,455,
181,659,163,
225,764,765,0
266,870,195,4
26,108,109,3
76,238,237,1
258,850,849,0
267,289,874,0
127,463,462,4
268,877,746,0
73,72,227,1
269,882,656,0
150,353,561,4
151,564,350,4
91,318,94,4
154,570,188,0
57,179,180,
100,189,355,0
235,786,785,0
93,313,324,4
282,689,890,4
283,327,894,4
284,895,896,4
213,737,736,0
86,294,293,2
292,916,917,2
6,28,29,4
96,341,320,4
62,200,201,2
294,924,923,2
293,922,921,2
296,928,927,2
297,930,929,2
298,932,931,2
14,73,74,2
295,926,925,2
299,398,933,2
304,952,397,2
305,401,957,2
306,402,960,2
307,962,84,1
302,946,39,3
